Fecha	remote_id	remote_name	Variable	Valor
2021-06-22T16:00:00Z	Priva	Exterior	PAR_umolm2s	205.0102
2021-06-22T16:00:00Z	Priva	Exterior	Radiacion_Wm2	89.72
2021-06-22T16:00:00Z	Priva	Exterior	Temperatura_Aire_C	17.71
2021-06-22T16:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1287.92
2021-06-22T16:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0.3
2021-06-22T16:00:00Z	Priva	Exterior	Lluvia	0
2021-06-22T17:00:00Z	Priva	Exterior	PAR_umolm2s	182.61720000000003
2021-06-22T17:00:00Z	Priva	Exterior	Radiacion_Wm2	79.92
2021-06-22T17:00:00Z	Priva	Exterior	Temperatura_Aire_C	17.01
2021-06-22T17:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1320.92
2021-06-22T17:00:00Z	Priva	Exterior	Velocidad_Viento_ms	1.41
2021-06-22T17:00:00Z	Priva	Exterior	Lluvia	0
2021-06-22T18:00:00Z	Priva	Exterior	PAR_umolm2s	16.3606
2021-06-22T18:00:00Z	Priva	Exterior	Radiacion_Wm2	7.16
2021-06-22T18:00:00Z	Priva	Exterior	Temperatura_Aire_C	15.11
2021-06-22T18:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1340
2021-06-22T18:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0.4
2021-06-22T18:00:00Z	Priva	Exterior	Lluvia	0
2021-06-22T19:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-22T19:00:00Z	Priva	Exterior	Radiacion_Wm2	0
2021-06-22T19:00:00Z	Priva	Exterior	Temperatura_Aire_C	13.91
2021-06-22T19:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1340
2021-06-22T19:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0.1
2021-06-22T19:00:00Z	Priva	Exterior	Lluvia	0
2021-06-22T20:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-22T20:00:00Z	Priva	Exterior	Radiacion_Wm2	0
2021-06-22T20:00:00Z	Priva	Exterior	Temperatura_Aire_C	11.31
2021-06-22T20:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1340
2021-06-22T20:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0.11
2021-06-22T20:00:00Z	Priva	Exterior	Lluvia	0
2021-06-22T21:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-22T21:00:00Z	Priva	Exterior	Radiacion_Wm2	0
2021-06-22T21:00:00Z	Priva	Exterior	Temperatura_Aire_C	10.2
2021-06-22T21:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1340
2021-06-22T21:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0.7
2021-06-22T21:00:00Z	Priva	Exterior	Lluvia	0
2021-06-22T22:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-22T22:00:00Z	Priva	Exterior	Radiacion_Wm2	0
2021-06-22T22:00:00Z	Priva	Exterior	Temperatura_Aire_C	9.5
2021-06-22T22:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1340
2021-06-22T22:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0.6
2021-06-22T22:00:00Z	Priva	Exterior	Lluvia	0
2021-06-22T23:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-22T23:00:00Z	Priva	Exterior	Radiacion_Wm2	0
2021-06-22T23:00:00Z	Priva	Exterior	Temperatura_Aire_C	9.09
2021-06-22T23:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1340
2021-06-22T23:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-22T23:00:00Z	Priva	Exterior	Lluvia	0
2021-06-23T00:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-23T00:00:00Z	Priva	Exterior	Radiacion_Wm2	0
2021-06-23T00:00:00Z	Priva	Exterior	Temperatura_Aire_C	9
2021-06-23T00:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1340
2021-06-23T00:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-23T00:00:00Z	Priva	Exterior	Lluvia	0
2021-06-23T01:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-23T01:00:00Z	Priva	Exterior	Radiacion_Wm2	0
2021-06-23T01:00:00Z	Priva	Exterior	Temperatura_Aire_C	7.6
2021-06-23T01:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1340
2021-06-23T01:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-23T01:00:00Z	Priva	Exterior	Lluvia	0
2021-06-23T02:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-23T02:00:00Z	Priva	Exterior	Radiacion_Wm2	0
2021-06-23T02:00:00Z	Priva	Exterior	Temperatura_Aire_C	7.7
2021-06-23T02:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1340
2021-06-23T02:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-23T02:00:00Z	Priva	Exterior	Lluvia	0
2021-06-23T03:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-23T03:00:00Z	Priva	Exterior	Radiacion_Wm2	0
2021-06-23T03:00:00Z	Priva	Exterior	Temperatura_Aire_C	8.1
2021-06-23T03:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1340
2021-06-23T03:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-23T03:00:00Z	Priva	Exterior	Lluvia	0
2021-06-23T04:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-23T04:00:00Z	Priva	Exterior	Radiacion_Wm2	0
2021-06-23T04:00:00Z	Priva	Exterior	Temperatura_Aire_C	6.8
2021-06-23T04:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1340
2021-06-23T04:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-23T04:00:00Z	Priva	Exterior	Lluvia	0
2021-06-23T05:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-23T05:00:00Z	Priva	Exterior	Radiacion_Wm2	0
2021-06-23T05:00:00Z	Priva	Exterior	Temperatura_Aire_C	6.4
2021-06-23T05:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1340
2021-06-23T05:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-23T05:00:00Z	Priva	Exterior	Lluvia	0
2021-06-23T06:00:00Z	Priva	Exterior	PAR_umolm2s	26.89445
2021-06-23T06:00:00Z	Priva	Exterior	Radiacion_Wm2	11.77
2021-06-23T06:00:00Z	Priva	Exterior	Temperatura_Aire_C	6.4
2021-06-23T06:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	0
2021-06-23T06:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-23T06:00:00Z	Priva	Exterior	Lluvia	0
2021-06-23T07:00:00Z	Priva	Exterior	PAR_umolm2s	400.99465000000004
2021-06-23T07:00:00Z	Priva	Exterior	Radiacion_Wm2	175.49
2021-06-23T07:00:00Z	Priva	Exterior	Temperatura_Aire_C	9.08
2021-06-23T07:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	28.77
2021-06-23T07:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-23T07:00:00Z	Priva	Exterior	Lluvia	0
2021-06-23T08:00:00Z	Priva	Exterior	PAR_umolm2s	816.7504
2021-06-23T08:00:00Z	Priva	Exterior	Radiacion_Wm2	357.44
2021-06-23T08:00:00Z	Priva	Exterior	Temperatura_Aire_C	14.95
2021-06-23T08:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	132.49
2021-06-23T08:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-23T08:00:00Z	Priva	Exterior	Lluvia	0
2021-06-23T09:00:00Z	Priva	Exterior	PAR_umolm2s	1168.75465
2021-06-23T09:00:00Z	Priva	Exterior	Radiacion_Wm2	511.49
2021-06-23T09:00:00Z	Priva	Exterior	Temperatura_Aire_C	16.48
2021-06-23T09:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	294.25
2021-06-23T09:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-23T09:00:00Z	Priva	Exterior	Lluvia	0
2021-06-23T10:00:00Z	Priva	Exterior	PAR_umolm2s	1475.1046
2021-06-23T10:00:00Z	Priva	Exterior	Radiacion_Wm2	645.56
2021-06-23T10:00:00Z	Priva	Exterior	Temperatura_Aire_C	19.3
2021-06-23T10:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	511.11
2021-06-23T10:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0.61
2021-06-23T10:00:00Z	Priva	Exterior	Lluvia	0
2021-06-23T11:00:00Z	Priva	Exterior	PAR_umolm2s	713.7197500000001
2021-06-23T11:00:00Z	Priva	Exterior	Radiacion_Wm2	312.35
2021-06-23T11:00:00Z	Priva	Exterior	Temperatura_Aire_C	19.1
2021-06-23T11:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	722.53
2021-06-23T11:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0.71
2021-06-23T11:00:00Z	Priva	Exterior	Lluvia	0
2021-06-23T12:00:00Z	Priva	Exterior	PAR_umolm2s	1016.3223
2021-06-23T12:00:00Z	Priva	Exterior	Radiacion_Wm2	444.78
2021-06-23T12:00:00Z	Priva	Exterior	Temperatura_Aire_C	20.5
2021-06-23T12:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	919.39
2021-06-23T12:00:00Z	Priva	Exterior	Velocidad_Viento_ms	1.2
2021-06-23T12:00:00Z	Priva	Exterior	Lluvia	0
2021-06-23T13:00:00Z	Priva	Exterior	PAR_umolm2s	524.79595
2021-06-23T13:00:00Z	Priva	Exterior	Radiacion_Wm2	229.67
2021-06-23T13:00:00Z	Priva	Exterior	Temperatura_Aire_C	20.22
2021-06-23T13:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1037.67
2021-06-23T13:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0.69
2021-06-23T13:00:00Z	Priva	Exterior	Lluvia	0
2021-06-23T14:00:00Z	Priva	Exterior	PAR_umolm2s	844.2618000000001
2021-06-23T14:00:00Z	Priva	Exterior	Radiacion_Wm2	369.48
2021-06-23T14:00:00Z	Priva	Exterior	Temperatura_Aire_C	19.71
2021-06-23T14:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1166.41
2021-06-23T14:00:00Z	Priva	Exterior	Velocidad_Viento_ms	1.36
2021-06-23T14:00:00Z	Priva	Exterior	Lluvia	0
2021-06-23T15:00:00Z	Priva	Exterior	PAR_umolm2s	639.82285
2021-06-23T15:00:00Z	Priva	Exterior	Radiacion_Wm2	280.01
2021-06-23T15:00:00Z	Priva	Exterior	Temperatura_Aire_C	21.02
2021-06-23T15:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1330.63
2021-06-23T15:00:00Z	Priva	Exterior	Velocidad_Viento_ms	1.01
2021-06-23T15:00:00Z	Priva	Exterior	Lluvia	0
2021-06-23T16:00:00Z	Priva	Exterior	PAR_umolm2s	442.99295000000006
2021-06-23T16:00:00Z	Priva	Exterior	Radiacion_Wm2	193.87
2021-06-23T16:00:00Z	Priva	Exterior	Temperatura_Aire_C	18.2
2021-06-23T16:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1398.72
2021-06-23T16:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0.61
2021-06-23T16:00:00Z	Priva	Exterior	Lluvia	0
2021-06-23T17:00:00Z	Priva	Exterior	PAR_umolm2s	231.99605000000003
2021-06-23T17:00:00Z	Priva	Exterior	Radiacion_Wm2	101.53
2021-06-23T17:00:00Z	Priva	Exterior	Temperatura_Aire_C	17.71
2021-06-23T17:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1449.84
2021-06-23T17:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-23T17:00:00Z	Priva	Exterior	Lluvia	0
2021-06-23T18:00:00Z	Priva	Exterior	PAR_umolm2s	28.151200000000003
2021-06-23T18:00:00Z	Priva	Exterior	Radiacion_Wm2	12.32
2021-06-23T18:00:00Z	Priva	Exterior	Temperatura_Aire_C	15.42
2021-06-23T18:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1464.95
2021-06-23T18:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-23T18:00:00Z	Priva	Exterior	Lluvia	0
2021-06-23T19:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-23T19:00:00Z	Priva	Exterior	Radiacion_Wm2	0
2021-06-23T19:00:00Z	Priva	Exterior	Temperatura_Aire_C	14.11
2021-06-23T19:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1465
2021-06-23T19:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0.51
2021-06-23T19:00:00Z	Priva	Exterior	Lluvia	0
2021-06-23T20:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-23T20:00:00Z	Priva	Exterior	Radiacion_Wm2	0
2021-06-23T20:00:00Z	Priva	Exterior	Temperatura_Aire_C	13.21
2021-06-23T20:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1465
2021-06-23T20:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-23T20:00:00Z	Priva	Exterior	Lluvia	0
2021-06-23T21:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-23T21:00:00Z	Priva	Exterior	Radiacion_Wm2	0
2021-06-23T21:00:00Z	Priva	Exterior	Temperatura_Aire_C	12.41
2021-06-23T21:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1465
2021-06-23T21:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-23T21:00:00Z	Priva	Exterior	Lluvia	0
2021-06-23T22:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-23T22:00:00Z	Priva	Exterior	Radiacion_Wm2	0
2021-06-23T22:00:00Z	Priva	Exterior	Temperatura_Aire_C	12
2021-06-23T22:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1465
2021-06-23T22:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-23T22:00:00Z	Priva	Exterior	Lluvia	0
2021-06-23T23:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-23T23:00:00Z	Priva	Exterior	Radiacion_Wm2	0
2021-06-23T23:00:00Z	Priva	Exterior	Temperatura_Aire_C	11.9
2021-06-23T23:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1465
2021-06-23T23:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-23T23:00:00Z	Priva	Exterior	Lluvia	0
2021-06-24T00:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-24T00:00:00Z	Priva	Exterior	Radiacion_Wm2	0
2021-06-24T00:00:00Z	Priva	Exterior	Temperatura_Aire_C	11.61
2021-06-24T00:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1465
2021-06-24T00:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-24T00:00:00Z	Priva	Exterior	Lluvia	0
2021-06-24T01:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-24T01:00:00Z	Priva	Exterior	Radiacion_Wm2	0
2021-06-24T01:00:00Z	Priva	Exterior	Temperatura_Aire_C	11.11
2021-06-24T01:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1465
2021-06-24T01:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-24T01:00:00Z	Priva	Exterior	Lluvia	0
2021-06-24T02:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-24T02:00:00Z	Priva	Exterior	Radiacion_Wm2	0
2021-06-24T02:00:00Z	Priva	Exterior	Temperatura_Aire_C	11.4
2021-06-24T02:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1465
2021-06-24T02:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-24T02:00:00Z	Priva	Exterior	Lluvia	0
2021-06-24T03:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-24T03:00:00Z	Priva	Exterior	Radiacion_Wm2	0
2021-06-24T03:00:00Z	Priva	Exterior	Temperatura_Aire_C	11.51
2021-06-24T03:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1465
2021-06-24T03:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-24T03:00:00Z	Priva	Exterior	Lluvia	0
2021-06-24T04:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-24T04:00:00Z	Priva	Exterior	Radiacion_Wm2	0
2021-06-24T04:00:00Z	Priva	Exterior	Temperatura_Aire_C	11.31
2021-06-24T04:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1465
2021-06-24T04:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-24T04:00:00Z	Priva	Exterior	Lluvia	0
2021-06-24T05:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-24T05:00:00Z	Priva	Exterior	Radiacion_Wm2	0
2021-06-24T05:00:00Z	Priva	Exterior	Temperatura_Aire_C	10.71
2021-06-24T05:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1465
2021-06-24T05:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-24T05:00:00Z	Priva	Exterior	Lluvia	0
2021-06-24T06:00:00Z	Priva	Exterior	PAR_umolm2s	22.4844
2021-06-24T06:00:00Z	Priva	Exterior	Radiacion_Wm2	9.84
2021-06-24T06:00:00Z	Priva	Exterior	Temperatura_Aire_C	9.6
2021-06-24T06:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	0
2021-06-24T06:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-24T06:00:00Z	Priva	Exterior	Lluvia	0
2021-06-24T07:00:00Z	Priva	Exterior	PAR_umolm2s	438.92565
2021-06-24T07:00:00Z	Priva	Exterior	Radiacion_Wm2	192.09
2021-06-24T07:00:00Z	Priva	Exterior	Temperatura_Aire_C	14.78
2021-06-24T07:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	35.68
2021-06-24T07:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-24T07:00:00Z	Priva	Exterior	Lluvia	0
2021-06-24T08:00:00Z	Priva	Exterior	PAR_umolm2s	386.21070000000003
2021-06-24T08:00:00Z	Priva	Exterior	Radiacion_Wm2	169.02
2021-06-24T08:00:00Z	Priva	Exterior	Temperatura_Aire_C	15.49
2021-06-24T08:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	100.79
2021-06-24T08:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-24T08:00:00Z	Priva	Exterior	Lluvia	0
2021-06-24T09:00:00Z	Priva	Exterior	PAR_umolm2s	766.2062000000001
2021-06-24T09:00:00Z	Priva	Exterior	Radiacion_Wm2	335.32
2021-06-24T09:00:00Z	Priva	Exterior	Temperatura_Aire_C	18.38
2021-06-24T09:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	230.58
2021-06-24T09:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0.61
2021-06-24T09:00:00Z	Priva	Exterior	Lluvia	0
2021-06-24T10:00:00Z	Priva	Exterior	PAR_umolm2s	517.3697
2021-06-24T10:00:00Z	Priva	Exterior	Radiacion_Wm2	226.42
2021-06-24T10:00:00Z	Priva	Exterior	Temperatura_Aire_C	19.06
2021-06-24T10:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	320.64
2021-06-24T10:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-24T10:00:00Z	Priva	Exterior	Lluvia	0
2021-06-24T11:00:00Z	Priva	Exterior	PAR_umolm2s	386.1193
2021-06-24T11:00:00Z	Priva	Exterior	Radiacion_Wm2	168.98
2021-06-24T11:00:00Z	Priva	Exterior	Temperatura_Aire_C	14.51
2021-06-24T11:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	392.7
2021-06-24T11:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0.99
2021-06-24T11:00:00Z	Priva	Exterior	Lluvia	1
2021-06-24T12:00:00Z	Priva	Exterior	PAR_umolm2s	669.9163000000001
2021-06-24T12:00:00Z	Priva	Exterior	Radiacion_Wm2	293.18
2021-06-24T12:00:00Z	Priva	Exterior	Temperatura_Aire_C	16.13
2021-06-24T12:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	489.52
2021-06-24T12:00:00Z	Priva	Exterior	Velocidad_Viento_ms	1.31
2021-06-24T12:00:00Z	Priva	Exterior	Lluvia	1
2021-06-24T13:00:00Z	Priva	Exterior	PAR_umolm2s	408.1467
2021-06-24T13:00:00Z	Priva	Exterior	Radiacion_Wm2	178.62
2021-06-24T13:00:00Z	Priva	Exterior	Temperatura_Aire_C	14.11
2021-06-24T13:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	593.64
2021-06-24T13:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0.72
2021-06-24T13:00:00Z	Priva	Exterior	Lluvia	1
2021-06-24T14:00:00Z	Priva	Exterior	PAR_umolm2s	765.6578000000001
2021-06-24T14:00:00Z	Priva	Exterior	Radiacion_Wm2	335.08
2021-06-24T14:00:00Z	Priva	Exterior	Temperatura_Aire_C	13.78
2021-06-24T14:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	672.34
2021-06-24T14:00:00Z	Priva	Exterior	Velocidad_Viento_ms	1.32
2021-06-24T14:00:00Z	Priva	Exterior	Lluvia	1
2021-06-24T15:00:00Z	Priva	Exterior	PAR_umolm2s	758.9399
2021-06-24T15:00:00Z	Priva	Exterior	Radiacion_Wm2	332.14
2021-06-24T15:00:00Z	Priva	Exterior	Temperatura_Aire_C	20.28
2021-06-24T15:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	829.52
2021-06-24T15:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0.61
2021-06-24T15:00:00Z	Priva	Exterior	Lluvia	0
2021-06-24T16:00:00Z	Priva	Exterior	PAR_umolm2s	120.48805
2021-06-24T16:00:00Z	Priva	Exterior	Radiacion_Wm2	52.73
2021-06-24T16:00:00Z	Priva	Exterior	Temperatura_Aire_C	13.14
2021-06-24T16:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	884.87
2021-06-24T16:00:00Z	Priva	Exterior	Velocidad_Viento_ms	1.01
2021-06-24T16:00:00Z	Priva	Exterior	Lluvia	1
2021-06-24T17:00:00Z	Priva	Exterior	PAR_umolm2s	299.7463
2021-06-24T17:00:00Z	Priva	Exterior	Radiacion_Wm2	131.18
2021-06-24T17:00:00Z	Priva	Exterior	Temperatura_Aire_C	16.76
2021-06-24T17:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	932.76
2021-06-24T17:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0.21
2021-06-24T17:00:00Z	Priva	Exterior	Lluvia	0
2021-06-24T18:00:00Z	Priva	Exterior	PAR_umolm2s	18.737
2021-06-24T18:00:00Z	Priva	Exterior	Radiacion_Wm2	8.2
2021-06-24T18:00:00Z	Priva	Exterior	Temperatura_Aire_C	15.74
2021-06-24T18:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	955
2021-06-24T18:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-24T18:00:00Z	Priva	Exterior	Lluvia	0
2021-06-24T19:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-24T19:00:00Z	Priva	Exterior	Radiacion_Wm2	0
2021-06-24T19:00:00Z	Priva	Exterior	Temperatura_Aire_C	12.41
2021-06-24T19:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	955
2021-06-24T19:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0.49
2021-06-24T19:00:00Z	Priva	Exterior	Lluvia	0
2021-06-24T20:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-24T20:00:00Z	Priva	Exterior	Radiacion_Wm2	0
2021-06-24T20:00:00Z	Priva	Exterior	Temperatura_Aire_C	12.09
2021-06-24T20:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	955
2021-06-24T20:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0.01
2021-06-24T20:00:00Z	Priva	Exterior	Lluvia	0
2021-06-24T21:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-24T21:00:00Z	Priva	Exterior	Radiacion_Wm2	0
2021-06-24T21:00:00Z	Priva	Exterior	Temperatura_Aire_C	11.22
2021-06-24T21:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	955
2021-06-24T21:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-24T21:00:00Z	Priva	Exterior	Lluvia	0
2021-06-24T22:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-24T22:00:00Z	Priva	Exterior	Radiacion_Wm2	0
2021-06-24T22:00:00Z	Priva	Exterior	Temperatura_Aire_C	10.69
2021-06-24T22:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	955
2021-06-24T22:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-24T22:00:00Z	Priva	Exterior	Lluvia	0
2021-06-24T23:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-24T23:00:00Z	Priva	Exterior	Radiacion_Wm2	0
2021-06-24T23:00:00Z	Priva	Exterior	Temperatura_Aire_C	9.6
2021-06-24T23:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	955
2021-06-24T23:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-24T23:00:00Z	Priva	Exterior	Lluvia	0
2021-06-25T00:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-25T00:00:00Z	Priva	Exterior	Radiacion_Wm2	0
2021-06-25T00:00:00Z	Priva	Exterior	Temperatura_Aire_C	9.8
2021-06-25T00:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	955
2021-06-25T00:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-25T00:00:00Z	Priva	Exterior	Lluvia	0
2021-06-25T01:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-25T01:00:00Z	Priva	Exterior	Radiacion_Wm2	0
2021-06-25T01:00:00Z	Priva	Exterior	Temperatura_Aire_C	9.2
2021-06-25T01:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	955
2021-06-25T01:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-25T01:00:00Z	Priva	Exterior	Lluvia	0
2021-06-25T02:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-25T02:00:00Z	Priva	Exterior	Radiacion_Wm2	0
2021-06-25T02:00:00Z	Priva	Exterior	Temperatura_Aire_C	9.39
2021-06-25T02:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	955
2021-06-25T02:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-25T02:00:00Z	Priva	Exterior	Lluvia	0
2021-06-25T03:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-25T03:00:00Z	Priva	Exterior	Radiacion_Wm2	0
2021-06-25T03:00:00Z	Priva	Exterior	Temperatura_Aire_C	8.71
2021-06-25T03:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	955
2021-06-25T03:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-25T03:00:00Z	Priva	Exterior	Lluvia	0
2021-06-25T04:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-25T04:00:00Z	Priva	Exterior	Radiacion_Wm2	0
